title,name,area,rooms,price_lower,price_upper
整租·金世纪嘉园 1室1厅 东,东城-广渠门-金世纪嘉园,62.00,1,6500,6500
整租·和平里五区 1室1厅 东南,东城-和平里-和平里五区,40.00,1,6500,6500
整租·万国城MOMA 2室1厅 东/北,东城-东直门-万国城MOMA,115.64,2,18000,18000
整租·西总布胡同 2室1厅 南,东城-建国门内-西总布胡同,55.00,2,8500,8500
整租·兴隆都市馨园 2室1厅 南,东城-崇文门-兴隆都市馨园,73.18,2,8500,8500
整租·信用北里 3室0厅 东/西/北,东城-崇文门-信用北里,56.42,3,5800,5800
整租·国瑞城中区 2室1厅 东,东城-崇文门-国瑞城中区,70.00,2,8400,8400
整租·瑞士公寓 1室1厅 西,东城-朝阳门外-瑞士公寓,72.00,1,13500,13500
整租·本家润园C区 2室1厅 西,东城-东花市-本家润园C区,63.75,2,7500,7500
整租·鼓楼东大街 1室0厅 东,东城-地安门-鼓楼东大街,11.57,1,2400,2400
整租·景泰东里 2室1厅 南/北,东城-蒲黄榆-景泰东里,65.71,2,6000,6000
整租·察慈小区 1室1厅 南,东城-东直门-察慈小区,49.33,1,7300,7300
整租·法华南里 1室1厅 西,东城-崇文门-法华南里,47.56,1,5600,5600
整租·万国城MOMA 1室0厅 东,东城-东直门-万国城MOMA,45.86,1,8600,8600
整租·城市亮点 1室1厅 西,东城-永定门-城市亮点,47.11,1,5200,5200
整租·安德路乙61号院 2室1厅 东,东城-安定门-安德路乙61号院,84.10,2,13000,13000
整租·绿景苑 1室0厅 西,东城-广渠门-绿景苑,18.00,1,3700,3700
整租·西香河园 2室1厅 南/北,东城-东直门-西香河园,52.37,2,6000,6000
整租·梵悦万国府 4室2厅 东南/西北,东城-东直门-梵悦万国府,287.56,4,80000,80000
整租·冠城名敦道A区 1室0厅 西,东城-广渠门-冠城名敦道A区,80.00,1,9000,9000
整租·北下洼子胡同 1室0厅 北,东城-地安门-北下洼子胡同,15.00,1,2600,2600
整租·新景家园东区 1室1厅 西,东城-崇文门-新景家园东区,58.98,1,6700,6700
整租·海运仓小区 1室1厅 西,东城-东直门-海运仓小区,53.42,1,8000,8000
整租·天坛东里北区 2室1厅 南,东城-天坛-天坛东里北区,50.00,2,7000,7000
整租·北京INN 3房间 西,东城-朝阳门内-北京INN,80.00,3,10000,10000
整租·新景家园东区 3室1厅 东/西,东城-崇文门-新景家园东区,90.00,3,9500,9500
整租·新景家园东区 2室1厅 南/北,东城-崇文门-新景家园东区,76.00,2,8600,8600
整租·海晟名苑北区 1室0厅 东,东城-工体-海晟名苑北区,47.59,1,7700,7700
整租·兴隆都市馨园 2室1厅 南/北,东城-崇文门-兴隆都市馨园,73.68,2,7600,7600
整租·建国门北大街5号 3室1厅 东南,东城-建国门内-建国门北大街5号,146.08,3,20000,20000
整租·华人一品大厦 2房间 南,东城-东四-华人一品大厦,18.00,2,4850,4850
整租·自由季 2房间 西,东城-广渠门-自由季,56.00,2,5300,5300
整租·幸福家园三期 1室1厅 东,东城-广渠门-幸福家园三期,63.90,1,7900,7900
整租·和平里七区 2室1厅 南,东城-和平里-和平里七区,72.49,2,8000,8000
整租·万国城MOMA 2室1厅 西/北,东城-东直门-万国城MOMA,96.87,2,18000,18000
整租·金世纪嘉园 1室1厅 东,东城-广渠门-金世纪嘉园,62.00,1,6500,6500
整租·和平里五区 1室1厅 东南,东城-和平里-和平里五区,40.00,1,6500,6500
整租·水上华城 1室1厅 北,东城-广渠门-水上华城,51.10,1,6000,6000
整租·南岗子 2室1厅 南/北,东城-崇文门-南岗子,57.87,2,6200,6200
整租·广渠家园 2室1厅 西北,东城-广渠门-广渠家园,61.34,2,7000,7000
整租·太华公寓 2室1厅 南,东城-崇文门-太华公寓,151.00,2,17000,17000
整租·小黄庄二区 1室1厅 南,东城-安贞-小黄庄二区,49.51,1,5500,5500
整租·交林 2室1厅 东/南,东城-和平里-交林,55.14,2,7000,7000
整租·富贵园一区 3室2厅 南/北,东城-东花市-富贵园一区,138.99,3,18300,18300
整租·新景家园西区 1室1厅 西,东城-崇文门-新景家园西区,60.00,1,7200,7200
整租·长青园 2室1厅 南/北,东城-左安门-长青园,58.00,2,7800,7800
整租·雍和家园二期 2室1厅 西,东城-和平里-雍和家园二期,148.00,2,25500,25500
整租·冠城名敦道A区 1室1厅 西南,东城-广渠门-冠城名敦道A区,60.55,1,7700,7700
整租·定安里 2室1厅 东南,东城-永定门-定安里,55.00,2,5000,5000
整租·长安太和 2室1厅 北,东城-建国门内-长安太和,172.76,2,35000,35000
整租·梵悦万国府 3室2厅 东/南,东城-东直门-梵悦万国府,196.00,3,70000,70000
整租·潘家坡胡同4号院 3室1厅 南/北,东城-朝阳门外-潘家坡胡同4号院,69.30,3,9800,9800
整租·西革新里124号 2室1厅 南,东城-永定门-西革新里124号,50.84,2,5500,5500
整租·建国门内大街 3室2厅 东/南/北,东城-建国门外-建国门内大街,129.00,3,19000,19000
整租·兴隆都市馨园 3室2厅 南/北,东城-崇文门-兴隆都市馨园,96.00,3,11500,11500
整租·广渠家园 3室1厅 西南,东城-广渠门-广渠家园,79.00,3,8300,8300
整租·雍和家园二期 2室1厅 北,东城-和平里-雍和家园二期,178.00,2,30000,30000
整租·培新街乙5号院 2室1厅 东南,东城-广渠门-培新街乙5号院,75.30,2,9000,9000
整租·鼓楼外大街52号 1室1厅 东,东城-安定门-鼓楼外大街52号,44.38,1,6300,6300
整租·新永外文化用品商城 1室1厅 北,东城-永定门-新永外文化用品商城,37.00,1,4300,4300
整租·MOHO国际写字楼 1房间 北,东城-东花市-MOHO国际写字楼,24.78,1,3600,3600
整租·新景家园东区 2室1厅 南/北,东城-崇文门-新景家园东区,80.03,2,8500,8500
整租·前门前酒店公寓 1房间 东北,东城-天坛-前门前酒店公寓,50.11,1,5000,5000
整租·海运仓小区 3室1厅 南/北,东城-东直门-海运仓小区,81.00,3,11000,11000
整租·后永康胡同2号院4号院 1室1厅 东北,东城-东直门-后永康胡同2号院4号院,45.00,1,5800,5800
整租·水上华城 1室2厅 西,东城-广渠门-水上华城,74.50,1,8300,8300
整租·富莱茵花园 2室1厅 南/北,东城-永定门-富莱茵花园,62.13,2,5900,5900
整租·李村东里 1室1厅 南/西,东城-永定门-李村东里,40.85,1,4600,4600
整租·阳光都市 1室1厅 北,东城-工体-阳光都市,68.40,1,11000,11000
整租·光明楼 2室1厅 东,东城-广渠门-光明楼,50.00,2,5000,5000
整租·和平里一区 1室1厅 南,东城-和平里-和平里一区,37.07,1,5900,5900
整租·北京INN 1房间 南,东城-朝阳门内-北京INN,63.00,1,8000,8000
整租·中海紫御公馆 2室1厅 西北,东城-陶然亭-中海紫御公馆,62.00,2,8500,8500
整租·自由季 2房间 东/西/北,东城-广渠门-自由季,69.60,2,7000,7000
整租·朝阳门南小街 2室1厅 南,东城-朝阳门内-朝阳门南小街,69.30,2,11000,11000
整租·永铁苑 3室1厅 西南,东城-陶然亭-永铁苑,90.00,3,11800,11800
整租·炮局头条 2室1厅 南/北,东城-东直门-炮局头条,58.00,2,6600,6600
整租·新景家园西区 1室1厅 东,东城-崇文门-新景家园西区,58.00,1,7800,7800
整租·富贵园四区 3室1厅 南/北,东城-东花市-富贵园四区,180.00,3,22000,22000
整租·东厂胡同 4室2厅 南/北,东城-灯市口-东厂胡同,187.00,4,28500,28500
整租·天坛西里东区 3室1厅 南/北,东城-天坛-天坛西里东区,68.31,3,6400,6400
整租·新永外文化用品商城 2室1厅 南,东城-永定门-新永外文化用品商城,75.00,2,7800,7800
整租·建国门北大街5号 1室1厅 西,东城-建国门内-建国门北大街5号,57.61,1,8500,8500
整租·朝内大街203号院 2室1厅 南/北,东城-东四-朝内大街203号院,54.18,2,8000,8000
整租·朝阳首府 4室2厅 南/北,东城-朝阳门内-朝阳首府,253.47,4,42000,42000
整租·兴隆都市馨园 1室1厅 南,东城-崇文门-兴隆都市馨园,53.00,1,6300,6300
整租·盛德紫阙 2室1厅 东,东城-和平里-盛德紫阙,115.60,2,16500,16500
