title,name,area,rooms,price_lower,price_upper
整租·知雅汇(公寓) 4室2厅 南,松江-九亭-知雅汇(公寓),131.14,4,6800,6800
整租·星辰园(公寓) 1室1厅 南,松江-松江大学城-星辰园(公寓),65.24,1,4200,4200
整租·吉联大厦 3室2厅 南,虹口-鲁迅公园-吉联大厦,139.06,3,14800,14800
整租·东安公寓 2室1厅 西北,静安-江宁路-东安公寓,76.59,2,11500,11500
整租·美树铭家 3室2厅 南/北,宝山-张庙-美树铭家,124.63,3,7500,7500
整租·曹杨三村(杏杨园) 2室1厅 南,普陀-曹杨-曹杨三村(杏杨园),46.22,2,5300,5300
整租·星尚湾名邸 3室2厅 南/北,青浦-华新-星尚湾名邸,165.26,3,5500,5500
整租·临港十七区 1室1厅 北,浦东-临港新城-临港十七区,34.31,1,2000,2000
整租·佘北家园竹青苑 3室1厅 南,松江-佘山-佘北家园竹青苑,87.00,3,2800,2800
整租·颐亭花园(别墅) 4室2厅 南,松江-九亭-颐亭花园(别墅),227.12,4,17500,17500
整租·明丰公寓 3室2厅 南,松江-松江新城-明丰公寓,122.54,3,4800,4800
整租·众众德尚世嘉 2室2厅 南,闵行-颛桥-众众德尚世嘉,93.09,2,6200,6200
整租·佳伟小区 2室1厅 南,虹口-凉城-佳伟小区,85.19,2,5300,5300
整租·古美西路420弄 2室1厅 南,闵行-古美-古美西路420弄,75.72,2,6200,6200
整租·凌川佳苑 3室2厅 南,浦东-川沙-凌川佳苑,114.00,3,5000,5000
整租·新华联奥莱悦府 2室1厅 南,青浦-赵巷-新华联奥莱悦府,83.35,2,6600,6600
整租·航建大楼 2室1厅 南/北,徐汇-斜土路-航建大楼,52.12,2,7600,7600
整租·荣乐小区 2室1厅 南,松江-松江老城-荣乐小区,41.00,2,3000,3000
整租·华美达公寓 1室0厅 北,杨浦-黄兴公园-华美达公寓,36.54,1,3800,3800
整租·凯旋豪庭 2室2厅 南,徐汇-徐家汇-凯旋豪庭,111.61,2,14000,14000
整租·绿地新江桥城一期 2室1厅 南/北,嘉定-江桥-绿地新江桥城一期,76.65,2,5400,5400
整租·泾华新村 2室1厅 南,浦东-洋泾-泾华新村,62.02,2,6200,6200
整租·郁庭峰 3室2厅 南/北,长宁-北新泾-郁庭峰,127.93,3,10500,10500
整租·浦江世博家园九街坊 2室1厅 南,闵行-浦江-浦江世博家园九街坊,79.60,2,4300,4300
整租·长海二村 2室1厅 南,杨浦-中原-长海二村,56.68,2,4500,4500
整租·东方花园二期 3室2厅 南,闵行-七宝-东方花园二期,133.24,3,13000,13000
整租·九英里 1室1厅 南,宝山-共康-九英里,53.01,1,5000,5000
整租·东方城市花园(二期) 1室2厅 南,浦东-南码头-东方城市花园(二期),77.92,1,9300,9300
整租·象屿鼎城(公寓) 2室2厅 南/北,浦东-川沙-象屿鼎城(公寓),122.00,2,8700,8700
整租·崧泽华城秀景苑 3室1厅 南,青浦-赵巷-崧泽华城秀景苑,79.93,3,4500,4500
整租·茉莉雅苑 2室1厅 南,松江-泗泾-茉莉雅苑,72.00,2,3500,3500
整租·打虎山路118弄 3室1厅 南/北,杨浦-鞍山-打虎山路118弄,88.49,3,8000,8000
整租·云台二小区 2室2厅 南,浦东-世博-云台二小区,90.92,2,8300,8300
整租·玉兰三村 3室2厅 南/北,嘉定-安亭-玉兰三村,75.24,3,4500,4500
整租·长风一村小区 2室0厅 南,普陀-长风-长风一村小区,47.56,2,5520,5520
整租·新湖明珠城（三期） 2室2厅 南/北,普陀-武宁-新湖明珠城（三期）,130.60,2,19800,19800
整租·中核锦悦府 4室2厅 南,青浦-徐泾-中核锦悦府,151.06,4,22000,22000
整租·世盟壹天地 1室1厅 西,嘉定-南翔-世盟壹天地,35.85,1,3200,3200
整租·瑞虹新城怡庭 2室2厅 南,虹口-临平路-瑞虹新城怡庭,138.86,2,23000,23000
整租·乐山四五村 1室1厅 南,徐汇-徐家汇-乐山四五村,33.58,1,5500,5500
整租·万科翡翠公园（商用） 1室1厅 东,浦东-张江-万科翡翠公园（商用）,45.37,1,7200,7200
整租·潍坊二村 2室1厅 南/北,浦东-潍坊-潍坊二村,48.73,2,6500,6500
整租·航天小区 2室1厅 南,杨浦-五角场-航天小区,63.64,2,7500,7500
整租·泗塘二村 1室0厅 南,宝山-张庙-泗塘二村,29.56,1,3200,3200
整租·耀华大楼 2室1厅 南,浦东-世博-耀华大楼,69.00,2,8000,8000
整租·上南三村 1室1厅 南,浦东-世博-上南三村,37.32,1,5500,5500
整租·番禺小区 1室1厅 南,徐汇-徐家汇-番禺小区,40.81,1,5500,5500
整租·共康雅苑二期 2室1厅 南,宝山-共康-共康雅苑二期,70.40,2,4900,4900
整租·光华大厦 1室1厅 南,长宁-仙霞-光华大厦,44.98,1,6000,6000
整租·文定天下苑 2室2厅 南,徐汇-徐家汇-文定天下苑,88.66,2,11500,11500
整租·福源汇居 1室1厅 南,徐汇-徐家汇-福源汇居,48.57,1,9500,9500
整租·永新花苑 4室2厅 南/北,徐汇-徐家汇-永新花苑,172.63,4,23500,23500
整租·航欣苑 3室2厅 南/北,浦东-航头-航欣苑,127.78,3,6500,6500
整租·百第宜山大楼 1室0厅 南,徐汇-田林-百第宜山大楼,31.81,1,4700,4700
整租·宝华现代城 3室2厅 南,静安-大宁-宝华现代城,135.79,3,13500,13500
整租·绿地东海岸财富广场 1室1厅 西南,金山-金山-绿地东海岸财富广场,60.05,1,1300,1300
整租·品尊国际 3室2厅 南/北,普陀-真如-品尊国际,153.16,3,21000,21000
整租·玉屏南路721弄 1室0厅 南,长宁-中山公园-玉屏南路721弄,24.00,1,5200,5200
整租·金铭文博水景(公寓) 2室2厅 南/北,闵行-颛桥-金铭文博水景(公寓),88.81,2,4500,4500
整租·绿洲公寓 2室1厅 南,普陀-真如-绿洲公寓,76.98,2,6300,6300
整租·保利·首创丨颂 3室2厅 南,浦东-康桥-保利·首创丨颂,89.08,3,5200,5200
整租·文怡苑 1室1厅 南,浦东-康桥-文怡苑,55.25,1,4300,4300
整租·竹园新村(浦东) 2室1厅 南,浦东-源深-竹园新村(浦东),42.23,2,6800,6800
整租·和田小区 1室1厅 南,静安-西藏北路-和田小区,42.87,1,4500,4500
整租·香楠小区 2室1厅 南,浦东-张江-香楠小区,63.07,2,5500,5500
整租·文翔名苑(公寓) 3室2厅 南,松江-松江大学城-文翔名苑(公寓),89.82,3,5000,5000
整租·延长小区(闸北) 2室1厅 南,静安-大宁-延长小区(闸北),49.30,2,5300,5300
整租·俞一小区 2室1厅 南,徐汇-龙华-俞一小区,52.00,2,5800,5800
整租·德邑小城(公寓) 3室2厅 南,松江-松江新城-德邑小城(公寓),88.29,3,4500,4500
整租·华菁公寓 3室1厅 南,闵行-航华-华菁公寓,103.69,3,7600,7600
整租·翠湖天地御苑 3室2厅 南,黄浦-新天地-翠湖天地御苑,182.46,3,40000,40000
整租·绿波城 3室2厅 南,浦东-唐镇-绿波城,124.00,3,7900,7900
整租·仁恒河滨花园 4室2厅 南/北,长宁-天山-仁恒河滨花园,246.69,4,33000,33000
整租·新时空国际商务广场 1室1厅 南/北,长宁-中山公园-新时空国际商务广场,41.30,1,5800,5800
整租·茂盛花苑 2室1厅 南/北,闵行-七宝-茂盛花苑,68.38,2,4800,4800
整租·绿洲香岛花园 3室2厅 南,松江-莘闵别墅-绿洲香岛花园,180.00,3,9500,9500
整租·凯欣豪园 2室1厅 西南,长宁-中山公园-凯欣豪园,97.73,2,14500,14500
整租·梦丹苑 3室2厅 南,青浦-夏阳-梦丹苑,112.25,3,4200,4200
整租·东苑古龙城(公寓) 3室2厅 南,闵行-古美-东苑古龙城(公寓),153.99,3,17000,17000
整租·金城大厦 1室1厅 北,静安-西藏北路-金城大厦,35.00,1,4100,4100
整租·林水美地苑 3室1厅 南,闵行-莘庄北广场-林水美地苑,99.85,3,6500,6500
整租·名都新城（三期） 2室2厅 南,闵行-莘庄南广场-名都新城（三期）,99.14,2,6900,6900
整租·华中公寓 3室3厅 南,松江-松江老城-华中公寓,137.35,3,5200,5200
整租·汇丽小区 2室1厅 南/北,黄浦-打浦桥-汇丽小区,65.50,2,8700,8700
整租·新光大楼 2室1厅 南,浦东-潍坊-新光大楼,69.83,2,8300,8300
整租·中凯城市之光(静安) 1室2厅 东/东南,静安-南京西路-中凯城市之光(静安),61.42,1,11500,11500
整租·锦梅馨苑 2室1厅 南,闵行-春申-锦梅馨苑,89.55,2,7000,7000
整租·锦秋花园 3室2厅 南/北,宝山-上大-锦秋花园,138.30,3,13000,13000
整租·海富公寓 2室1厅 东南/南,长宁-新华路-海富公寓,96.78,2,13000,13000
整租·高境二村 1室1厅 南,宝山-高境-高境二村,42.00,1,4400,4400
整租·远洋新村 1室1厅 南,虹口-临平路-远洋新村,39.32,1,5200,5200
整租·棕榈滩海景城 6室0厅 南,奉贤-海湾-棕榈滩海景城,154.58,6,4500,4500
整租·新金山花园 2室1厅 南,闵行-颛桥-新金山花园,84.45,2,6800,6800
整租·大宁新村 1室1厅 南,静安-大宁-大宁新村,35.99,1,4500,4500
整租·田林十二村 2室0厅 南/北,徐汇-田林-田林十二村,67.30,2,6000,6000
整租·大华一村 1室1厅 南,宝山-大华-大华一村,47.00,1,4700,4700
